model,roc_auc,pr_auc,f1,precision,recall,balanced_accuracy,mcc,brier_score,log_loss,ks_statistic,f1_optimal_threshold,f1_optimal,f2_optimal_threshold,f2_optimal,precision_at_f2_optimal,recall_at_f2_optimal
logistic,0.8855189043820684,0.29856704975556947,0.08271963103473927,0.04447288433850584,0.5908607863974495,0.7654233096581602,0.15006075014854875,0.06005610840787495,0.23027066512946154,0.592955150608375,0.9625967517230819,0.3466076696165192,0.863122777049245,0.3196300102774923,0.28247048138056313,0.33049946865037194
random_forest,0.8552709726676962,0.2690070427192328,0.21036677781145802,0.14715860899067007,0.3687566418703507,0.6793269024687367,0.22737865325453416,0.03838513579858467,0.1906562732874815,0.5316421662523163,0.7346178364602942,0.3486714193130266,0.6399690816625093,0.3204715969989282,0.3318534961154273,0.3177470775770457
xgboost,0.8827531304403289,0.2784985011859667,0.21018354055654234,0.14567090685268774,0.37725823591923485,0.6833993550321559,0.22878787219076568,0.01399965272886487,0.06847458591701744,0.6069682080677512,0.8460962772369385,0.33084947839046197,0.6633172035217285,0.3057259713701431,0.2655417406749556,0.3177470775770457
lightgbm,0.8094435761193224,0.22195225668197774,0.15866699825913952,0.10357142857142858,0.3390010626992561,0.6625651925202711,0.18068540702038866,0.01429399380812947,0.059342252210086384,0.4612658365629054,0.9257318953104086,0.2932505818463926,0.7167637461992619,0.25877632898696085,0.2113022113022113,0.27417640807651433
catboost,0.8277656339323551,0.21715935371254827,0.10648148148148148,0.06013485619925692,0.46439957492029754,0.7150435526885051,0.15728479357077155,0.04232858630605118,0.17627733463042877,0.49793246580475664,0.8407040649305327,0.2928615009151922,0.7280166132529244,0.294062205466541,0.20246593121349774,0.33156216790648246
ensemble,0.8621393872782525,0.2946377680381166,0.11397929916448435,0.06456626165583498,0.485653560042508,0.7261955310574102,0.16755360949563083,0.04399416110583476,0.20266613603661937,0.5399950113415075,0.9634360937215759,0.3526170798898072,0.8762556282360591,0.3346877673224979,0.3432017543859649,0.332624867162593
